C, utils, Evtpo, value
   4938.0247308880,               NaN,     -1.6172990237,               NaN
   4949.3222703179,               NaN,     -1.6174553306,******************
   4960.6198097479,               NaN,     -1.6176116376,               NaN
   4971.9173491778,               NaN,     -1.6177679445,******************
   4983.2148886078,               NaN,     -1.6179242515,               NaN
   4994.5124280377,               NaN,     -1.6180805585,******************
   5005.8099674677,               NaN,     -1.6182368656,               NaN
   5017.1075068976,               NaN,     -1.6183931726,******************
   5028.4050463276,               NaN,     -1.6185494797,               NaN
   5039.7025857575,               NaN,     -1.6187057867,******************
   5051.0001251875,               NaN,     -1.6188620938,               NaN
   5062.2976646174,               NaN,     -1.6190184010,******************
   5073.5952040474,               NaN,     -1.6191747081,               NaN
   5084.8927434773,               NaN,     -1.6193310152,******************
   5096.1902829073,               NaN,     -1.6194873224,               NaN
   5107.4878223372,               NaN,     -1.6196436296,******************
   5118.7853617672,               NaN,     -1.6197999368,               NaN
   5130.0829011971,               NaN,     -1.6199562441,******************
   5141.3804406271,               NaN,     -1.6201125513,               NaN
   5152.6779800570,               NaN,     -1.6202688586,******************
   5163.9755194870,               NaN,     -1.6204251659,               NaN
   5175.2730589169,               NaN,     -1.6205814732,******************
   5186.5705983469,               NaN,     -1.6207377805,               NaN
   5197.8681377768,               NaN,     -1.6208940878,******************
   5209.1656772068,               NaN,     -1.6210503952,               NaN
   5220.4632166367,               NaN,     -1.6212067026,******************
   5231.7607560667,               NaN,     -1.6213630100,               NaN
   5243.0582954966,               NaN,     -1.6215193174,******************
   5254.3558349266,               NaN,     -1.6216756248,               NaN
   5265.6533743565,               NaN,     -1.6218319323,******************
   5276.9509137865,               NaN,     -1.6219882398,               NaN
   5288.2484532164,               NaN,     -1.6221445473,******************
   5299.5459926463,               NaN,     -1.6223008548,               NaN
   5310.8435320763,               NaN,     -1.6224571623,******************
   5322.1410715062,               NaN,     -1.6226134698,               NaN
   5333.4386109362,               NaN,     -1.6227697774,******************
   5344.7361503661,               NaN,     -1.6229260850,               NaN
   5356.0336897961,               NaN,     -1.6230823926,******************
   5367.3312292260,               NaN,     -1.6232387002,               NaN
   5378.6287686560,               NaN,     -1.6233950079,******************
   5389.9263080859,               NaN,     -1.6235513155,               NaN
   5401.2238475159,               NaN,     -1.6237076232,******************
   5412.5213869458,               NaN,     -1.6238639309,               NaN
   5423.8189263758,               NaN,     -1.6240202386,******************
   5435.1164658057,               NaN,     -1.6241765464,               NaN
   5446.4140052357,               NaN,     -1.6243328541,******************
   5457.7115446656,               NaN,     -1.6244891619,               NaN
   5469.0090840956,               NaN,     -1.6246454697,******************
   5480.3066235255,               NaN,     -1.6248017775,               NaN
   5491.6041629555,               NaN,     -1.6249580854,******************
   5502.9017023854,               NaN,     -1.6251143932,               NaN
   5514.1992418154,               NaN,     -1.6252707011,******************
   5525.4967812453,               NaN,     -1.6254270090,               NaN
   5536.7943206753,               NaN,     -1.6255833169,******************
   5548.0918601052,               NaN,     -1.6257396248,               NaN
   5559.3893995352,               NaN,     -1.6258959328,******************
   5570.6869389651,               NaN,     -1.6260522407,               NaN
   5581.9844783951,               NaN,     -1.6262085487,******************
   5593.2820178250,               NaN,     -1.6263648567,               NaN
   5604.5795572550,               NaN,     -1.6265211647,******************
   5615.8770966849,               NaN,     -1.6266774728,               NaN
   5627.1746361149,               NaN,     -1.6268337808,******************
   5638.4721755448,               NaN,     -1.6269900889,               NaN
   5649.7697149748,               NaN,     -1.6271463970,******************
   5661.0672544047,               NaN,     -1.6273027051,               NaN
   5672.3647938347,               NaN,     -1.6274590133,******************
   5683.6623332646,               NaN,     -1.6276153214,               NaN
   5694.9598726946,               NaN,     -1.6277716296,******************
